Air Saigon,\N,SGA,AIR SAIGON,VM,N
Afrique Regional Airways,\N,AFW,AFRAIR,IV,N
Airfreight Express,\N,AFX, ,UK,N
Africa Chartered Services,\N,AFY,AFRICA CHARTERED,NI,N
Africa Freight Services,\N,AFZ,AFREIGHT,ZA,N
Aeronaves Del Centro,\N,AGA,\N,VE,N
Air Service Gabon,G8,AGB,\N,GB,N
Arab Agricultural Aviation Company,\N,AGC,AGRICO,EG,N
Atlantic Gulf Airlines,\N,AGF,ATLANTIC GULF,US,N
Aerolitoral,5D,SLI,COSTERA,MX,Y
Algoma Airways,\N,AGG,ALGOMA,CA,N
Altagna,\N,AGH,ALTAGNA,FR,N
Angola Air Charter,\N,AGO,ANGOLA CHARTER,AO,N
Angola Air Charter,\N,AGO,ANGOLA CHARTER,AO,N
AERFI Group,\N,AGP,AIR TARA,EI,N
Aerogala,\N,AGQ,GALASERVICE,CI,N
Amadeus Global Travel Distribution,1A,AGT,AMADEUS,SP,N
Angara Airlines,\N,AGU,SARMA,RS,N
Air Glaciers,7T,AGV,AIR GLACIERS,SZ,Y
Aero Gambia,\N,AGW,AERO GAMBIA,GA,N
Aviogenex,\N,AGX,GENEX,RB,Y
Atlantic Coast Airlines,\N,BLR,BLUE RIDGE,US,N
Aero Barloz,\N,BLZ,AEROLOZ,MX,N
Aeroper,PL,PLI,Aeroperu,PE,Y
Atlas Blue,8A,BMM,ATLAS BLUE,MO,Y
Aero Banobras,\N,BNB,AEROBANOBRAS,MX,N
Aero Flight Service,\N,AGY,FLIGHT GROUP,US,N
Agrolet-Mci,\N,AGZ,AGROLET,LO,N
Air Alpha Greenland,GD,AHA,AIR ALPHA,DA,N
Azal Avia Cargo,\N,AHC,AZALAVIACARGO,AJ,N
Aeroservices Corporate,\N,CJE,BIRD JET,FR,N
Aspen Helicopters,\N,AHF,ASPEN,US,N
Aerochago Airlines,\N,AHG,AEROCHAGO,DR,N
Airplanes Holdings,\N,AHH,AIRHOLD,EI,N
